price,year,brand,model,color,state,mileage,vin,
6300,2008,toyota,cruiser,black,new jersey,274117,jtezu11f88k007763,
2899,2011,ford,se,silver,tennessee,190552,2fmdk3gc4bbb02217,
5350,2018,dodge,mpv,silver,georgia,39590,3c4pdcgg5jt346413,
25000,2014,ford,door,blue,virginia,64146,1ftfw1et4efc23745,
27700,2018,chevrolet,1500,red,florida,6654,3gcpcrec2jg473991,
5700,2018,dodge,mpv,white,texas,45561,2c4rdgeg9jr237989,
7300,2010,chevrolet,pk,black,georgia,149050,1gcsksea1az121133,
13350,2017,gmc,door,gray,california,23525,1gks2gkc3hr326762,
14600,2018,chevrolet,malibu,silver,florida,9371,1g1zd5st5jf191860,
5250,2017,ford,mpv,black,texas,63418,2fmpk3j92hbc12542,
10400,2009,dodge,coupe,orange,georgia,107856,2b3lj54t49h509675,
12920,2017,gmc,mpv,white,california,39650,1gks2bkc6hr136280,
31900,2018,chevrolet,1500,black,tennessee,22909,3gcukrec0jg176059,
5430,2017,chrysler,wagon,gray,texas,138650,2c4rc1cg5hr616095,
20700,2013,ford,door,black,virginia,100757,1ftfw1et7dfa47790,
12710,2017,gmc,door,white,california,25747,1gks2gkc6hr328389,
5200,2018,kia,forte,blue,north carolina,46194,3kpfk4a77je198723,
16500,2018,buick,encore,red,tennessee,20002,kl4cj1sb6jb688844,
5210,2017,ford,mpv,white,texas,35714,2fmpk3j95hbb73607,
38100,2013,ford,door,gray,virginia,54380,1ft8w3dt5deb68569,
12520,2017,gmc,door,white,california,30114,1gks2gkcxhr328380,
7300,2018,kia,forte,black,north carolina,38823,3kpfl4a79je272611,
15000,2015,chevrolet,door,black,ohio,61578,2gnflhe33f6214023,
6180,2017,ford,mpv,blue,texas,46010,2fmpk3j84hbc09276,
20800,2013,ford,door,silver,virginia,105510,1ftfw1efxdfa01008,
11900,2017,gmc,door,silver,california,28040,1gks2gkc2hr327918,
21500,2020,kia,sorento,blue,north carolina,11451,5xypg4a59lg616029,
